CODICEIDENTIFICATIVOSITO;DENOMINAZIONESITOLOGISTICO;INDIRIZZO;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;LATITUDINE;LONGITUDINE;LOCALIZE
002197;Sanitaria Dr Carlo Poletto;Via Cassia 1777;10162330582;00123;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;42.08192;12.37295;1
002204;PARAFARMACIA  I GRANAI;VIA RIGAMONTI 100;06887121009;00142;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.83721;12.50516;1
002205;PARAFARMACIA CINECITTA'2;VIA P. TOGLIATTI 2;06887121009;00175;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.83395;12.88206;1
002206;PARAFARMACIA PANTHEON;VIA PIE' DI MARMO 4;06887121009;00186;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.90151;12.46077;1
002207;PARAFARMACIA APRILIA2;VIA DELLA RISERVA NUOVA snc;06887121009;04011;059001;Aprilia;059;LT;Latina;120;Lazio;01/11/2006;31/12/2008;41.5944;12.65603;1
002208;PARAFARMACIA CASETTA MATTEI;VIA DEI SAMPIERI snc;06887121009;00148;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.90151;12.46077;1
002210;PARAFARMACIA  ANAGNINA;VIA R.BILLI 11/13;06887121009;00173;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;31/05/2008;41.83376;12.59708;1
002214;PARAFARMACIA TORRESINA;VIA A.BARBATO ang. VIA TORRESINA;06887121009;00168;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;30/06/2009;41.93151;12.40178;1
002227;LA FARMACISTA;VIALE BRUNO BUOZZI, 19A;07003651002;00197;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.68689;12.77997;1
002229;FARMACIA NUOVA DOTT.SSA ALESSANDRA PAPALEO;VIA VITTORIO EMANUELE 9;02302560608;03029;060085;Veroli;060;FR;Frosinone;120;Lazio;01/11/2006;-;41.71893;13.44934;1
002230;LA FARMACEUTICA DI VOLEO S.R.L.;VIA MARIA,99;02457030605;03020;060085;Veroli;060;FR;Frosinone;120;Lazio;01/11/2006;31/07/2008;41.66794;13.43805;1
002233;PUNTO BENESSERE DI FRANCESCA ANGELINI;area transiti terminal B c/o aeroporto L. DA VINCI;01258691003;00050;058120;Fiumicino;058;RM;Roma;120;Lazio;01/11/2006;-;41.79492;12.25565;1
002234;PUNTO BENESSERE DI FRANCESCA ANGELINI;interrato lato via Marsala c/o STAZIONE TERMINI;01258691003;00181;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;-;41.90137;12.50054;1
002235;PUNTO BENESSERE DI FRANCESCA ANGELINI;via della vite n. 82;01258691003;00186;058091;Roma;058;RM;Roma;120;Lazio;01/11/2006;31/03/2010;41.90428;12.48278;1
002236;PUNTO BENESSERE DI FRANCESCA ANGELINI;via Portuense /o centro comm.le PARCO LEONARDO;01258691003;00054;058120;Fiumicino;058;RM;Roma;120;Lazio;01/11/2006;30/11/2010;41.79976;12.2962;1
002253;Parafarmacia - Erboristeria dr. A. Colasanti;Via Marco Tullio Cicerone,237;02349650602;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/12/2006;-;41.64799;13.34338;1
002276;paraFARMACIA;VIA DEL CORSO 2;02346560598;04010;059016;Norma;059;LT;Latina;120;Lazio;01/12/2006;-;41.58449;12.97195;1
002284;Parafarmacia dott.ssa Loreti Monica;via Tiburtina - 95;09113461009;00029;058112;Vicovaro;058;RM;Roma;120;Lazio;01/12/2006;31/12/2010;42.01745;12.90798;1
002286;+farma sas di Nicoletti Paola e C.;via dei calefati 42;01863830566;01028;056042;Orte;056;VT;Viterbo;120;Lazio;01/02/2012;-;42.46831;12.39253;1
002286;+farma srl;via dei calefati snc;01863830566;01028;056042;Orte;056;VT;Viterbo;120;Lazio;01/12/2006;31/01/2012;42.46831;12.39253;1
002332;IPERCOOP TIRRENO SPA;VIA CASILINA, 1011;00103530499;00169;058091;Roma;058;RM;Roma;120;Lazio;01/12/2006;31/03/2008;41.74817;12.99181;1
002332;UNICOOP TIRRENO SOC. COOP.;VIA CASILINA, 1011;00103530499;00169;058091;Roma;058;RM;Roma;120;Lazio;01/04/2008;-;41.74817;12.99181;1
002336;Leclerc Conad;via Arola, 55 lo. Casal del Marmo;07571421002;00135;058091;Roma;058;RM;Roma;120;Lazio;01/04/2008;28/02/2015;41.90151;12.46077;1
002336;Parafarmacia Conad;Via Arola, 55 lo. Casal del Marmo;05633761004;00135;058091;Roma;058;RM;Roma;120;Lazio;01/03/2015;-;41.90151;12.46077;1
002336;tirrenopharma s.r.l.;via Arola, 55 lo. Casal del Marmo;07571421002;00135;058091;Roma;058;RM;Roma;120;Lazio;01/12/2006;31/03/2008;41.90151;12.46077;1
002361;parafarmacia del ghetto-il polo etrusco;via enrico toti 15;08701011002;00053;058032;Civitavecchia;058;RM;Roma;120;Lazio;01/12/2006;31/03/2009;42.09051;11.7941;1
002433;Baby MArket Frosinone srl;S.S. 214 km. 0.900 n.68;02723560609;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/03/2012;-;41.6396;13.34263;1
002433;Divifarm S.r.l.;S.S. 214 km. 0.900 n.68;02723560609;03100;060038;Frosinone;060;FR;Frosinone;120;Lazio;01/01/2007;29/02/2012;41.6396;13.34263;1
002474;"Erboristeria ""Gioconda De Luca""";Piazza della Repubblica, 45;01159160595;04019;059032;Terracina;059;LT;Latina;120;Lazio;01/01/2007;-;41.31583;13.19094;1
002480;Baby Birba di Ceci Alessandra;Via Chiappitto snc;02502220607;03011;060003;Alatri;060;FR;Frosinone;120;Lazio;01/01/2007;31/07/2010;41.72529;13.3412;1
002505;erboristeria dott.ssa carla di iorio;via tancredi cartella, 41;02030430595;00159;058091;Roma;058;RM;Roma;120;Lazio;01/01/2007;-;41.90638;12.53866;1
002557;D'ALESSIO ANTONIO CARMINE;LARGO CESTI, 6;02080520592;04100;059011;Latina;059;LT;Latina;120;Lazio;01/01/2007;-;41.46635;12.87783;1
002566;Farmaci & Benessere;Corso Marconi, 21;09261641006;00053;058032;Civitavecchia;058;RM;Roma;120;Lazio;01/01/2007;31/05/2010;42.0938;11.7908;1
002567;Ri.bo srl;via isonzo 86;02320840594;04100;059011;Latina;059;LT;Latina;120;Lazio;01/01/2007;31/03/2009;41.44421;12.90816;1
002600;PARAFARMACIA ROMA TIBURTINA;Via Tiburtina, 757;02159750278;00159;058091;Roma;058;RM;Roma;120;Lazio;01/01/2007;30/11/2010;41.93305;12.59934;1
002617;Parafarmacia Cartolano Vito;via s.pio x, 1;04785090582;00193;058091;Roma;058;RM;Roma;120;Lazio;01/02/2008;-;41.90161;12.46374;1
002617;calisi teresita;via s.pio x,1;04785090582;00193;058091;Roma;058;RM;Roma;120;Lazio;01/01/2007;31/01/2008;41.90161;12.46374;1
002625;Brina Rossella;via San Carlo da Sezze;02340530597;04100;059011;Latina;059;LT;Latina;120;Lazio;01/01/2007;-;41.47408;12.89977;1
002640;farmasan snc;via Tommaso da Celano, 52;04766861001;00179;058091;Roma;058;RM;Roma;120;Lazio;01/01/2007;31/07/2010;41.87121;12.51544;1
002704;Farmasanitaria;via Pericle Pozzilli, 15;05902891000;00011;058104;Tivoli;058;RM;Roma;120;Lazio;01/04/2007;-;41.95216;12.71644;1
002704;Goglia Pasquale;via Pericle Pozzilli, 15;05902891000;00011;058104;Tivoli;058;RM;Roma;120;Lazio;01/02/2007;31/03/2007;41.95216;12.71644;1
